"iter" "posterior" "prior" "likelihood" "acceptance" "beta" "gamma"
"1" 1 -2228.18180884697 -4.51686613788877 -2223.66494270909 1 0.000657894736842105 0.142857142857143
"2" 2 -2151.35933508158 -4.51656601583592 -2146.84276906574 0.5 0.000690518357761764 0.142884225334349
"3" 3 -2151.35933508158 -4.51656601583592 -2146.84276906574 0.333333333333333 0.000690518357761764 0.142884225334349
"4" 4 -2151.35933508158 -4.51656601583592 -2146.84276906574 0.25 0.000690518357761764 0.142884225334349
"5" 5 -2151.35933508158 -4.51656601583592 -2146.84276906574 0.2 0.000690518357761764 0.142884225334349
"6" 6 -2010.30359674595 -4.53866575269997 -2005.76493099325 0.333333333333333 0.000791287937733012 0.140936714475052
"7" 7 -1984.96073230382 -4.55045509830549 -1980.41027720552 0.428571428571429 0.000826038505731441 0.139934542955412
"8" 8 -1903.46329481454 -4.53565172836356 -1898.92764308618 0.5 0.000947361355497892 0.141196907676897
"9" 9 -1846.31843655798 -4.52133887330579 -1841.79709768468 0.555555555555556 0.00101394204513289 0.142455660281138
"10" 10 -1846.31843655798 -4.52133887330579 -1841.79709768468 0.5 0.00101394204513289 0.142455660281138
"11" 11 -1803.4891127095 -4.50289051866201 -1798.98622219084 0.545454545454545 0.00105320643459866 0.144137936866567
"12" 12 -1803.4891127095 -4.50289051866201 -1798.98622219084 0.5 0.00105320643459866 0.144137936866567
"13" 13 -1803.4891127095 -4.50289051866201 -1798.98622219084 0.461538461538462 0.00105320643459866 0.144137936866567
"14" 14 -1693.56501230613 -4.5150349913982 -1689.04997731473 0.5 0.00116779997846194 0.143022664767612
"15" 15 -1637.79292304365 -4.51335063424192 -1633.27957240941 0.533333333333333 0.00122081856156258 0.143175517950273
"16" 16 -1637.79292304365 -4.51335063424192 -1633.27957240941 0.5 0.00122081856156258 0.143175517950273
"17" 17 -1598.64225232568 -4.51293549689407 -1594.12931682878 0.529411764705882 0.00125907517806542 0.143213279999784
"18" 18 -1578.81624164085 -4.46624499550974 -1574.34999664535 0.555555555555556 0.00125096308965372 0.147704938642116
"19" 19 -1578.81624164085 -4.46624499550974 -1574.34999664535 0.526315789473684 0.00125096308965372 0.147704938642116
"20" 20 -1439.28627286031 -4.45899443227162 -1434.82727842804 0.55 0.00138837090824223 0.148450481125266
"21" 21 -1414.08017654463 -4.47889741116283 -1409.60127913347 0.571428571428571 0.00143575840561119 0.146436851234095
"22" 22 -1319.43172825083 -4.44096881380765 -1314.99075943703 0.590909090909091 0.00152120794299031 0.150368215456578
"23" 23 -1319.43172825083 -4.44096881380765 -1314.99075943703 0.565217391304348 0.00152120794299031 0.150368215456578
"24" 24 -1305.76784994614 -4.45800227088565 -1301.30984767526 0.583333333333333 0.00156520321675042 0.148553613752453
"25" 25 -1233.86181921147 -4.44412656490411 -1229.41769264657 0.6 0.00167895294895502 0.15002533620367
"26" 26 -1204.28092451281 -4.4383578673846 -1199.84256664542 0.615384615384615 0.00173961619178569 0.150654042481543
"27" 27 -1164.76552853402 -4.42655062292181 -1160.3389779111 0.62962962962963 0.00183226199655786 0.151973891909763
"28" 28 -1153.89012929761 -4.39375493829119 -1149.49637435932 0.642857142857143 0.00174924939246729 0.155902020076144
"29" 29 -1139.30882666786 -4.41026325689474 -1134.89856341097 0.655172413793103 0.00186668985853519 0.153873231248102
"30" 30 -1121.18858163536 -4.39059240288945 -1116.79798923247 0.666666666666667 0.00184704668713333 0.156303724914186
"31" 31 -1121.18858163536 -4.39059240288945 -1116.79798923247 0.645161290322581 0.00184704668713333 0.156303724914186
"32" 32 -1121.18858163536 -4.39059240288945 -1116.79798923247 0.625 0.00184704668713333 0.156303724914186
"33" 33 -1121.18858163536 -4.39059240288945 -1116.79798923247 0.606060606060606 0.00184704668713333 0.156303724914186
"34" 34 -1121.18858163536 -4.39059240288945 -1116.79798923247 0.588235294117647 0.00184704668713333 0.156303724914186
"35" 35 -1121.18858163536 -4.39059240288945 -1116.79798923247 0.571428571428571 0.00184704668713333 0.156303724914186
"36" 36 -1099.883926091 -4.39236969517699 -1095.49155639582 0.583333333333333 0.00200094700712274 0.156077432435035
